hub_code,hub_name,operator_name,city,state,zone,hub_type,area_sqft,daily_capacity_units,utilization_pct,units_currently_processing,dock_bays_total,dock_bays_available,staff_count,avg_dwell_time_hrs,inbound_units_today,outbound_units_today,pincodes_served,status,last_updated_min_ago,daily_throughput,peak_slot,inbound_window,outbound_window,sorting_rate_units_per_hr,error_rate_pct,inb_6_9am,outb_6_9am,inb_9am_12pm,outb_9am_12pm,inb_12_3pm,outb_12_3pm,inb_3_6pm,outb_3_6pm,inb_6_9pm,outb_6_9pm
BOM-HUB-01,Mumbai Primary,ElasticRun Ops Mumbai,Mumbai,Maharashtra,West,Primary,18000,9800,72,7056,12,4,42,1.2,2744,1800,18,Operational,2,7056,9 AM–12 PM,6 AM – 3 PM,12 PM – 9 PM,980,0.40,1764,1176,2744,2156,2352,3038,1960,2744,980,686
DEL-HUB-01,Delhi Primary,Swift Warehousing Delhi,Delhi,Delhi,North,Primary,15900,9800,94,9212,11,3,49,1.55,588,2013,27,Degraded,3,9212,9 AM–12 PM,6 AM – 3 PM,12 PM – 9 PM,980,0.55,1764,1176,2744,2156,2352,3038,1960,2744,980,686
BLR-HUB-01,Bengaluru Primary,Local Hub Services Bengaluru,Bengaluru,Karnataka,South,Primary,13800,9800,81,7938,10,2,56,1.9,1862,2226,36,Operational,4,7938,9 AM–12 PM,6 AM – 3 PM,12 PM – 9 PM,980,0.70,1764,1176,2744,2156,2352,3038,1960,2744,980,686
PUN-HUB-01,Pune Secondary,ElasticRun Ops Pune,Pune,Maharashtra,West,Secondary,18000,9080,68,6174,12,4,42,1.2,2906,2439,18,Operational,5,6174,9 AM–12 PM,6 AM – 3 PM,12 PM – 9 PM,908,0.85,1634,1090,2542,1998,2179,2815,1816,2542,908,636
HYD-HUB-01,Hyderabad Primary,Swift Warehousing Hyderabad,Hyderabad,Telangana,South,Primary,15900,9800,77,7546,11,3,49,1.55,2254,2013,27,Operational,6,7546,9 AM–12 PM,6 AM – 3 PM,12 PM – 9 PM,980,1.00,1764,1176,2744,2156,2352,3038,1960,2744,980,686
CHE-HUB-01,Chennai Primary,Local Hub Services Chennai,Chennai,Tamil Nadu,South,Primary,13800,9800,91,8918,10,2,56,1.9,882,2439,36,Degraded,7,8918,9 AM–12 PM,6 AM – 3 PM,12 PM – 9 PM,980,1.15,1764,1176,2744,2156,2352,3038,1960,2744,980,686
KOL-HUB-01,Kolkata Primary,ElasticRun Ops Kolkata,Kolkata,West Bengal,East,Primary,18000,9080,74,6719,12,4,42,1.2,2361,2226,18,Operational,8,6719,9 AM–12 PM,6 AM – 3 PM,12 PM – 9 PM,908,1.30,1634,1090,2542,1998,2179,2815,1816,2542,908,636
AHM-HUB-01,Ahmedabad Secondary,Swift Warehousing Ahmedabad,Ahmedabad,Gujarat,West,Secondary,15900,9800,83,8134,11,3,49,1.55,1666,2226,27,Operational,9,8134,9 AM–12 PM,6 AM – 3 PM,12 PM – 9 PM,980,1.45,1764,1176,2744,2156,2352,3038,1960,2744,980,686
JAI-HUB-01,Jaipur Secondary,Local Hub Services Jaipur,Jaipur,Rajasthan,North,Secondary,13800,9800,65,6370,10,2,56,1.9,3430,2013,36,Operational,10,6370,9 AM–12 PM,6 AM – 3 PM,12 PM – 9 PM,980,1.60,1764,1176,2744,2156,2352,3038,1960,2744,980,686
LKO-HUB-01,Lucknow Micro,ElasticRun Ops Lucknow,Lucknow,Uttar Pradesh,North,Micro-hub,18000,9800,96,9408,12,4,42,1.2,392,2013,45,Degraded,11,9408,9 AM–12 PM,6 AM – 3 PM,12 PM – 9 PM,980,1.75,1764,1176,2744,2156,2352,3038,1960,2744,980,686
NAG-HUB-01,Nagpur Micro,Swift Warehousing Nagpur,Nagpur,Maharashtra,Central,Micro-hub,15900,9080,79,7173,11,3,49,1.55,1907,2013,18,Operational,12,7173,9 AM–12 PM,6 AM – 3 PM,12 PM – 9 PM,908,1.90,1634,1090,2542,1998,2179,2815,1816,2542,908,636
KOC-HUB-01,Kochi Dark Store,Local Hub Services Kochi,Kochi,Kerala,South,Dark Store,13800,9800,61,5978,10,2,56,1.9,3822,2013,36,Operational,13,5978,9 AM–12 PM,6 AM – 3 PM,12 PM – 9 PM,980,2.05,1764,1176,2744,2156,2352,3038,1960,2744,980,686
PAT-HUB-01,Patna Micro,ElasticRun Ops Patna,Patna,Bihar,East,Micro-hub,18000,9800,88,8624,12,4,42,1.2,1176,2226,54,Operational,14,8624,9 AM–12 PM,6 AM – 3 PM,12 PM – 9 PM,980,2.20,1764,1176,2744,2156,2352,3038,1960,2744,980,686
BHO-HUB-01,Bhopal Micro,Swift Warehousing Bhopal,Bhopal,Madhya Pradesh,Central,Micro-hub,15900,9080,73,6628,11,3,49,1.55,2451,2013,18,Operational,15,6628,9 AM–12 PM,6 AM – 3 PM,12 PM – 9 PM,908,2.35,1634,1090,2542,1998,2179,2815,1816,2542,908,636
GUW-HUB-01,Guwahati Secondary,Local Hub Services Guwahati,Guwahati,Assam,East,Secondary,13800,9800,86,8428,10,2,56,1.9,1372,2226,36,Operational,16,8428,9 AM–12 PM,6 AM – 3 PM,12 PM – 9 PM,980,2.50,1764,1176,2744,2156,2352,3038,1960,2744,980,686
